column,dtype,null_count,null_rate,n_unique,min,p50,max
ncont_total_h_pc_w,double precision,0,0.0,34617,0.0,553.1429,21637.761679999985
ncont_total_t_pc_w,double precision,0,0.0,36281,0.0,585.49,21520.763347999993
saldocont_ahorro_m_pc_w,double precision,0,0.0,1905,0.0,0.0,4168904.2117919987
saldocont_ahorro_h_pc_w,double precision,0,0.0,1972,0.0,0.0,4183942.709815998
saldocont_ahorro_t_pc_w,double precision,0,0.0,2189,0.0,0.0,4161945.6373519986
saldocont_plazo_m_pc_w,double precision,0,0.0,17154,0.0,0.0,318721194.8690998
saldocont_plazo_h_pc_w,double precision,0,0.0,17221,0.0,0.0,354325919.4064037
saldocont_plazo_t_pc_w,double precision,0,0.0,17561,0.0,0.0,406713513.1643592
saldocont_n1_m_pc_w,double precision,0,0.0,852,0.0,0.0,591.071399999998
saldocont_n1_h_pc_w,double precision,0,0.0,2300,0.0,0.0,1994.3366
saldocont_n1_t_pc_w,double precision,0,0.0,2624,0.0,0.0,1300.9861399999972
saldocont_n2_m_pc_w,double precision,0,0.0,39564,0.0,116654.5171,11918433.414259922
saldocont_n2_h_pc_w,double precision,0,0.0,39021,0.0,143192.6121,7903814.923791968
saldocont_n2_t_pc_w,double precision,0,0.0,40410,0.0,146428.9709,9198099.646071984
saldocont_n3_m_pc_w,double precision,0,0.0,6232,0.0,0.0,1083014.1448639994
saldocont_n3_h_pc_w,double precision,0,0.0,6757,0.0,0.0,1321555.6709079992
saldocont_n3_t_pc_w,double precision,0,0.0,7021,0.0,0.0,1180566.6238439968
saldocont_tradic_m_pc_w,double precision,0,0.0,17693,0.0,0.0,378466137.42855966
saldocont_tradic_h_pc_w,double precision,0,0.0,17794,0.0,0.0,497419580.9900716
saldocont_tradic_t_pc_w,double precision,0,0.0,17949,0.0,0.0,792016077.8945029
saldocont_total_m_pc_w,double precision,0,0.0,39589,0.0,196373.5343,638336918.929647
saldocont_total_h_pc_w,double precision,0,0.0,39047,0.0,261303.0888,768226260.4695913
saldocont_total_t_pc_w,double precision,0,0.0,40426,0.0,240278.5515,1122209061.7660556
numcontcred_hip_m_pc_w,double precision,0,0.0,15650,0.0,4.268,386.56894399999953
numcontcred_hip_h_pc_w,double precision,0,0.0,18913,0.0,10.6636,730.8058879999999
numcontcred_hip_t_pc_w,double precision,0,0.0,20852,0.0,7.7446,569.1037199999988
numtar_deb_m_pc_w,double precision,0,0.0,33432,0.0,494.877,24156.091044
numtar_deb_h_pc_w,double precision,0,0.0,34643,13.308724000000005,677.1344,27078.490383999946
numtar_deb_t_pc_w,double precision,0,0.0,36581,23.088116,609.791,25597.457491999998
numtar_cred_m_pc_w,double precision,0,0.0,31448,0.0,242.9828,5689.142459999999
numtar_cred_h_pc_w,double precision,0,0.0,32083,0.0,337.8378,6324.100103999999
numtar_cred_t_pc_w,double precision,0,0.0,35198,0.0,291.7492,5911.8770559999975
ratio_mh_ncont_ahorro,double precision,39163,0.934566,2140,0.0,0.84729,29.295302
ratio_mh_ncont_plazo,double precision,24183,0.577091,16931,0.0,1.4974845,206.618948
ratio_mh_ncont_n1,double precision,38279,0.913471,867,0.0,0.0,86.300732
ratio_mh_ncont_n2,double precision,1504,0.035891,38116,0.0,0.967936,74.142942
ratio_mh_ncont_n3,double precision,34616,0.826059,6146,0.0,0.665507,8.443454
ratio_mh_ncont_tradic,double precision,23655,0.564491,17893,0.0,1.026766,208.820198
ratio_mh_ncont_total,double precision,1485,0.035437,38081,0.0,1.0107825,65.78844
ratio_mh_saldocont_ahorro,double precision,39344,0.938886,2146,0.0,0.951027,27068.708938
ratio_mh_saldocont_plazo,double precision,24193,0.57733,17251,0.0,1.1240450000000002,92002.005994
ratio_mh_saldocont_n1,double precision,38325,0.914569,1013,0.0,0.0,5983.991783
ratio_mh_saldocont_n2,double precision,1709,0.040783,39224,0.0,0.8197380000000001,90236.754949
ratio_mh_saldocont_n3,double precision,34642,0.826679,6420,0.0,0.765686,19378.904294
ratio_mh_saldocont_tradic,double precision,23668,0.564801,17838,0.0,0.924675,60247.012732
ratio_mh_saldocont_total,double precision,1684,0.040186,39221,0.0,0.935141,90236.754949
